,Survived,Pclass,Sex,Fare,FamilySize,Age_cat,Initial_0,Initial_1,Initial_2,Initial_3,Initial_4,Embarked_C,Embarked_Q,Embarked_S
0,0,3,1,1.9810014688665833,2,2,0,0,1,0,0,0,0,1
1,1,1,0,4.26666207838721,2,3,0,0,0,1,0,1,0,0
2,1,3,0,2.0700223197633445,1,2,0,1,0,0,0,0,0,1
3,1,1,0,3.9721769282478934,2,3,0,0,0,1,0,0,0,1
4,0,3,1,2.0856720914304723,1,3,0,0,1,0,0,0,0,1
5,0,3,1,2.135148207799377,1,3,0,0,1,0,0,0,1,0
6,0,1,1,3.948595985658986,1,5,0,0,1,0,0,0,0,1
7,0,3,1,3.048087503887919,5,0,1,0,0,0,0,0,0,1
8,1,3,0,2.409940617298087,3,2,0,0,0,1,0,0,0,1
9,1,2,0,3.4035546012358333,2,1,0,0,0,1,0,1,0,0
10,1,3,0,2.8154087194227095,3,0,0,1,0,0,0,0,0,1
11,1,1,0,3.279029747687948,1,5,0,1,0,0,0,0,0,1
12,0,3,1,2.0856720914304723,1,2,0,0,1,0,0,0,0,1
13,0,3,1,3.442819056352975,7,3,0,0,1,0,0,0,0,1
14,0,3,0,2.061048420562944,1,1,0,1,0,0,0,0,0,1
15,1,2,0,2.772588722239781,1,5,0,0,0,1,0,0,0,1
16,0,3,1,3.371596911885865,6,0,1,0,0,0,0,0,1,0
17,1,2,1,2.5649493574615367,1,3,0,0,1,0,0,0,0,1
18,0,3,0,2.8903717578961645,2,3,0,0,0,1,0,0,0,1
19,1,3,0,1.9775472339984959,1,3,0,0,0,1,0,1,0,0
20,0,2,1,3.258096538021482,1,3,0,0,1,0,0,0,0,1
21,1,2,1,2.5649493574615367,1,3,0,0,1,0,0,0,0,1
22,1,3,0,2.0830848965946345,1,1,0,1,0,0,0,0,1,0
23,1,1,1,3.56953269648137,1,2,0,0,1,0,0,0,0,1
24,0,3,0,3.048087503887919,5,0,0,1,0,0,0,0,0,1
25,1,3,0,3.4464097244837033,7,3,0,0,0,1,0,0,0,1
26,0,3,1,1.9775472339984959,1,3,0,0,1,0,0,1,0,0
27,0,1,1,5.572154032177765,6,1,0,0,1,0,0,0,0,1
28,1,3,0,2.0642263758733557,1,2,0,1,0,0,0,0,1,0
29,0,3,1,2.0663309725297405,1,3,0,0,1,0,0,0,0,1
30,0,1,1,3.32218303393412,1,4,0,0,1,0,0,1,0,0
31,1,1,0,4.9871673979011675,2,3,0,0,0,1,0,1,0,0
32,1,3,0,2.0476928433652555,1,2,0,1,0,0,0,0,1,0
33,0,2,1,2.3513752571634776,1,6,0,0,1,0,0,0,0,1
34,0,1,1,4.408800007809053,2,2,0,0,1,0,0,1,0,0
35,0,1,1,3.9512437185814275,2,4,0,0,1,0,0,0,0,1
36,1,3,1,1.9781283799793465,1,3,0,0,1,0,0,1,0,0
37,0,3,1,2.0856720914304723,1,2,0,0,1,0,0,0,0,1
38,0,3,0,2.8903717578961645,3,1,0,1,0,0,0,0,0,1
39,1,3,0,2.419630078580691,2,1,0,1,0,0,0,1,0,0
40,0,3,0,2.24865675096849,2,4,0,0,0,1,0,0,0,1
41,0,2,0,3.044522437723423,2,2,0,0,0,1,0,0,0,1
42,0,3,1,2.0663309725297405,1,3,0,0,1,0,0,1,0,0
43,1,2,0,3.7276000422255353,4,0,0,1,0,0,0,1,0,0
44,1,3,0,2.0642263758733557,1,1,0,1,0,0,0,0,1,0
45,0,3,1,2.0856720914304723,1,3,0,0,1,0,0,0,0,1
46,0,3,1,2.740840023925201,2,3,0,0,1,0,0,0,1,0
47,1,3,0,2.0476928433652555,1,2,0,1,0,0,0,0,1,0
48,0,3,1,3.0763532755216065,3,3,0,0,1,0,0,1,0,0
49,0,3,0,2.8791984572980396,2,1,0,0,0,1,0,0,0,1
50,0,3,1,3.6810362766529106,6,0,1,0,0,0,0,0,0,1
51,0,3,1,2.0541237336955462,1,2,0,0,1,0,0,0,0,1
52,1,1,0,4.340282339965535,2,4,0,0,0,1,0,1,0,0
53,1,2,0,3.258096538021482,2,2,0,0,0,1,0,0,0,1
54,0,1,1,4.126798844886821,2,6,0,0,1,0,0,1,0,0
55,1,1,1,3.56953269648137,1,3,0,0,1,0,0,0,0,1
56,1,2,0,2.3513752571634776,1,2,0,1,0,0,0,0,0,1
57,0,3,1,1.9781283799793465,1,2,0,0,1,0,0,1,0,0
58,1,2,0,3.3232358401924436,4,0,0,1,0,0,0,0,0,1
59,0,3,1,3.8480176754522337,8,1,1,0,0,0,0,0,0,1
60,0,3,1,1.9781283799793465,1,2,0,0,1,0,0,1,0,0
61,1,1,0,4.382026634673881,1,3,0,1,0,0,0,0,0,1
62,0,1,1,4.424547185829718,2,4,0,0,1,0,0,0,0,1
63,0,3,1,3.32862668882732,6,0,1,0,0,0,0,0,0,1
64,0,1,1,3.32218303393412,1,3,0,0,1,0,0,1,0,0
65,1,3,1,2.7243040552851014,3,0,1,0,0,0,0,1,0,0
66,1,2,0,2.3513752571634776,1,2,0,0,0,1,0,0,0,1
67,0,3,1,2.0990358139382788,1,1,0,0,1,0,0,0,0,1
68,1,3,0,2.0700223197633445,7,1,0,1,0,0,0,0,0,1
69,0,3,1,2.1590033645160216,3,2,0,0,1,0,0,0,0,1
70,0,2,1,2.3513752571634776,1,3,0,0,1,0,0,0,0,1
71,0,3,0,3.8480176754522337,8,1,0,1,0,0,0,0,0,1
72,0,2,1,4.297285406218791,1,2,0,0,1,0,0,0,0,1
73,0,3,1,2.6709850297651974,2,2,0,0,1,0,0,1,0,0
74,1,3,1,4.034166299106131,1,3,0,0,1,0,0,0,0,1
75,0,3,1,2.0347056478384444,1,2,0,0,1,0,0,0,0,1
76,0,3,1,2.0663309725297405,1,3,0,0,1,0,0,0,0,1
77,0,3,1,2.0856720914304723,1,3,0,0,1,0,0,0,0,1
78,1,2,1,3.367295829986474,3,0,1,0,0,0,0,0,0,1
79,1,3,0,2.5237266416375825,1,3,0,1,0,0,0,0,0,1
80,0,3,1,2.1972245773362196,1,2,0,0,1,0,0,0,0,1
81,1,3,1,2.2512917986064953,1,2,0,0,1,0,0,0,0,1
82,1,3,0,2.0525198841135714,1,2,0,1,0,0,0,0,1,0
83,0,1,1,3.8522730010223722,1,2,0,0,1,0,0,0,0,1
84,1,2,0,2.3513752571634776,1,1,0,1,0,0,0,0,0,1
85,1,3,0,2.7631695003232895,4,3,0,0,0,1,0,0,0,1
86,0,3,1,3.5373295559867355,5,1,0,0,1,0,0,0,0,1
87,0,3,1,2.0856720914304723,1,3,0,0,1,0,0,0,0,1
88,1,1,0,5.572154032177765,6,2,0,1,0,0,0,0,0,1
89,0,3,1,2.0856720914304723,1,2,0,0,1,0,0,0,0,1
90,0,3,1,2.0856720914304723,1,2,0,0,1,0,0,0,0,1
91,0,3,1,2.061048420562944,1,2,0,0,1,0,0,0,0,1
92,0,1,1,4.113738609328736,2,4,0,0,1,0,0,0,0,1
93,0,3,1,3.0240767465631335,4,2,0,0,1,0,0,0,0,1
94,0,3,1,1.9810014688665833,1,5,0,0,1,0,0,0,0,1
95,0,3,1,2.0856720914304723,1,3,0,0,1,0,0,0,0,1
96,0,1,1,3.545418930411529,1,7,0,0,1,0,0,1,0,0
97,1,1,1,4.148805916338137,2,2,0,0,1,0,0,1,0,0
98,1,2,0,3.1354942159291497,2,3,0,0,0,1,0,0,0,1
99,0,2,1,3.258096538021482,2,3,0,0,1,0,0,0,0,1
100,0,3,0,2.0663309725297405,1,2,0,1,0,0,0,0,0,1
101,0,3,1,2.0663309725297405,1,3,0,0,1,0,0,0,0,1
102,0,1,1,4.347532234884687,2,2,0,0,1,0,0,0,0,1
103,0,3,1,2.158044752235899,1,3,0,0,1,0,0,0,0,1
104,0,3,1,2.0700223197633445,3,3,0,0,1,0,0,0,0,1
105,0,3,1,2.0663309725297405,1,2,0,0,1,0,0,0,0,1
106,1,3,0,2.0347056478384444,1,2,0,1,0,0,0,0,0,1
107,1,3,1,2.0509134580652977,1,3,0,0,1,0,0,0,0,1
108,0,3,1,2.0663309725297405,1,3,0,0,1,0,0,0,0,1
109,1,3,0,3.184284380098582,2,2,0,1,0,0,0,0,1,0
110,0,1,1,3.9512437185814275,1,4,0,0,1,0,0,0,0,1
111,0,3,0,2.6709850297651974,2,1,0,1,0,0,0,1,0,0
112,0,3,1,2.0856720914304723,1,2,0,0,1,0,0,0,0,1
113,0,3,0,2.284930157755325,2,2,0,1,0,0,0,0,0,1
114,0,3,0,2.671268644120752,1,1,0,1,0,0,0,1,0,0
115,0,3,1,2.0700223197633445,1,2,0,0,1,0,0,0,0,1
116,0,3,1,2.0476928433652555,1,7,0,0,1,0,0,0,1,0
117,0,2,1,3.044522437723423,2,2,0,0,1,0,0,0,0,1
118,0,1,1,5.5114946188815885,2,2,0,0,1,0,0,1,0,0
119,0,3,0,3.442819056352975,7,0,0,1,0,0,0,0,0,1
120,0,2,1,4.297285406218791,3,2,0,0,1,0,0,0,0,1
121,0,3,1,2.0856720914304723,1,3,0,0,1,0,0,0,0,1
122,0,2,1,3.4035546012358333,2,3,0,0,1,0,0,1,0,0
123,1,2,0,2.5649493574615367,1,3,0,1,0,0,0,0,0,1
124,0,1,1,4.347532234884687,2,5,0,0,1,0,0,0,0,1
125,1,3,1,2.419630078580691,2,1,1,0,0,0,0,1,0,0
126,0,3,1,2.0476928433652555,1,3,0,0,1,0,0,0,1,0
127,1,3,1,1.9659508432494155,1,2,0,0,1,0,0,0,0,1
128,1,3,0,3.107197616774036,3,2,0,1,0,0,0,1,0,0
129,0,3,1,1.9423323277074294,1,4,0,0,1,0,0,0,0,1
130,0,3,1,2.0663309725297405,1,3,0,0,1,0,0,1,0,0
131,0,3,1,1.9530276168241774,1,2,0,0,1,0,0,0,0,1
132,0,3,0,2.6741486494265287,2,4,0,0,0,1,0,0,0,1
133,1,2,0,3.258096538021482,2,2,0,0,0,1,0,0,0,1
134,0,2,1,2.5649493574615367,1,2,0,0,1,0,0,0,0,1
135,0,2,1,2.711098882480229,1,2,0,0,1,0,0,1,0,0
136,1,1,0,3.2689337565093157,3,1,0,1,0,0,0,0,0,1
137,0,1,1,3.9721769282478934,2,3,0,0,1,0,0,0,0,1
138,0,3,1,2.221017055930222,1,1,0,0,1,0,0,0,0,1
139,0,1,1,4.37197629882038,1,2,0,0,1,0,0,1,0,0
140,0,3,0,2.7243040552851014,3,3,0,0,0,1,0,1,0,0
141,1,3,0,2.0476928433652555,1,2,0,1,0,0,0,0,0,1
142,1,3,0,2.7631695003232895,2,2,0,0,0,1,0,0,0,1
143,0,3,1,1.9095425048844386,1,1,0,0,1,0,0,0,1,0
144,0,2,1,2.4423470353692043,1,1,0,0,1,0,0,0,0,1
145,0,2,1,3.6041382256588457,3,1,0,0,1,0,0,0,0,1
146,1,3,1,2.0535851271346086,1,2,0,0,1,0,0,0,0,1
147,0,3,0,3.5373295559867355,5,0,0,1,0,0,0,0,0,1
148,0,2,1,3.258096538021482,3,3,0,0,1,0,0,0,0,1
149,0,2,1,2.5649493574615367,1,4,0,0,0,0,1,0,0,1
150,0,2,1,2.5277266469709283,1,5,0,0,0,0,1,0,0,1
151,1,1,0,4.198704577546343,2,2,0,0,0,1,0,0,0,1
152,0,3,1,2.0856720914304723,1,5,0,0,1,0,0,0,0,1
153,0,3,1,2.6741486494265287,3,4,0,0,1,0,0,0,0,1
154,0,3,1,1.989585212557975,1,3,0,0,1,0,0,0,0,1
155,0,1,1,4.117071015545232,2,5,0,0,1,0,0,1,0,0
156,1,3,0,2.0455356796500372,1,1,0,1,0,0,0,0,1,0
157,0,3,1,2.0856720914304723,1,3,0,0,1,0,0,0,0,1
158,0,3,1,2.1590033645160216,1,3,0,0,1,0,0,0,0,1
159,0,3,1,4.242045918369452,11,0,1,0,0,0,0,0,0,1
160,0,3,1,2.7788192719904172,2,4,0,0,1,0,0,0,0,1
161,1,2,0,2.7568403652716422,1,4,0,0,0,1,0,0,0,1
162,0,3,1,2.0509134580652977,1,2,0,0,1,0,0,0,0,1
163,0,3,1,2.1590033645160216,1,1,0,0,1,0,0,0,0,1
164,0,3,1,3.6810362766529106,6,0,1,0,0,0,0,0,0,1
165,1,3,1,3.021643655338492,3,0,1,0,0,0,0,0,0,1
166,1,1,0,4.007333185232471,2,3,0,0,0,1,0,0,0,1
167,0,3,0,3.32862668882732,6,4,0,0,0,1,0,0,0,1
168,0,1,1,3.2552077541155913,1,3,0,0,1,0,0,0,0,1
169,0,3,1,4.034166299106131,1,2,0,0,1,0,0,0,0,1
170,0,1,1,3.5115454388310208,1,6,0,0,1,0,0,0,0,1
171,0,3,1,3.371596911885865,6,0,1,0,0,0,0,0,1,0
172,1,3,0,2.409940617298087,3,0,0,1,0,0,0,0,0,1
173,0,3,1,2.0700223197633445,1,2,0,0,1,0,0,0,0,1
174,0,1,1,3.424125837416519,1,5,0,0,1,0,0,1,0,0
175,0,3,1,2.061048420562944,3,1,0,0,1,0,0,0,0,1
176,0,3,1,3.237371716404032,5,0,1,0,0,0,0,0,0,1
177,0,1,0,3.3573325680152166,1,5,0,1,0,0,0,1,0,0
178,0,2,1,2.5649493574615367,1,3,0,0,1,0,0,0,0,1
179,0,3,1,0.0,1,3,0,0,1,0,0,0,0,1
180,0,3,0,4.242045918369452,11,2,0,1,0,0,0,0,0,1
181,0,2,1,2.711377991194885,1,3,0,0,1,0,0,1,0,0
182,0,3,1,3.4464097244837033,7,0,1,0,0,0,0,0,0,1
183,1,2,1,3.6635616461296463,4,0,1,0,0,0,0,0,0,1
184,1,3,0,3.092178171822243,3,0,0,1,0,0,0,0,0,1
185,0,1,1,3.912023005428146,1,3,0,0,1,0,0,0,0,1
186,1,3,0,2.740840023925201,2,3,0,0,0,1,0,0,1,0
187,1,1,1,3.279029747687948,1,4,0,0,1,0,0,0,0,1
188,0,3,1,2.740840023925201,3,4,0,0,1,0,0,0,1,0
189,0,3,1,2.0663309725297405,1,3,0,0,1,0,0,0,0,1
190,1,2,0,2.5649493574615367,1,3,0,0,0,1,0,0,0,1
191,0,2,1,2.5649493574615367,1,1,0,0,1,0,0,0,0,1
192,1,3,0,2.061048420562944,2,1,0,1,0,0,0,0,0,1
193,1,2,1,3.258096538021482,3,0,1,0,0,0,0,0,0,1
194,1,1,0,3.32218303393412,1,4,0,0,0,1,0,1,0,0
195,1,1,0,4.9871673979011675,1,5,0,1,0,0,0,1,0,0
196,0,3,1,2.0476928433652555,1,3,0,0,1,0,0,0,1,0
197,0,3,1,2.128731580890919,2,4,0,0,1,0,0,0,0,1
198,1,3,0,2.0476928433652555,1,2,0,1,0,0,0,0,1,0
199,0,2,0,2.5649493574615367,1,2,0,1,0,0,0,0,0,1
200,0,3,1,2.2512917986064953,1,2,0,0,1,0,0,0,0,1
201,0,3,1,4.242045918369452,11,3,0,0,1,0,0,0,0,1
202,0,3,1,1.8711558142080713,1,3,0,0,1,0,0,0,0,1
203,0,3,1,1.9775472339984959,1,4,0,0,1,0,0,1,0,0
204,1,3,1,2.0856720914304723,1,1,0,0,1,0,0,0,0,1
205,0,3,0,2.3477974358155937,2,0,0,1,0,0,0,0,0,1
206,0,3,1,2.7631695003232895,2,3,0,0,1,0,0,0,0,1
207,1,3,1,2.933191755079093,1,2,0,0,1,0,0,1,0,0
208,1,3,0,2.0476928433652555,1,1,0,1,0,0,0,0,1,0
209,1,1,1,3.4339872044851463,1,4,0,0,1,0,0,1,0,0
210,0,3,1,1.9530276168241774,1,2,0,0,1,0,0,0,0,1
211,1,2,0,3.044522437723423,1,3,0,1,0,0,0,0,0,1
212,0,3,1,1.9810014688665833,1,2,0,0,1,0,0,0,0,1
213,0,2,1,2.5649493574615367,1,3,0,0,1,0,0,0,0,1
214,0,3,1,2.0476928433652555,2,3,0,0,1,0,0,0,1,0
215,1,1,0,4.729818490553202,2,3,0,1,0,0,0,1,0,0
216,1,3,0,2.0700223197633445,1,2,0,1,0,0,0,0,0,1
217,0,2,1,3.295836866004329,2,4,0,0,1,0,0,0,0,1
218,1,1,0,4.334564151246186,1,3,0,1,0,0,0,1,0,0
219,0,2,1,2.3513752571634776,1,3,0,0,1,0,0,0,0,1
220,1,3,1,2.0856720914304723,1,1,0,0,1,0,0,0,0,1
221,0,2,1,2.5649493574615367,1,2,0,0,1,0,0,0,0,1
222,0,3,1,2.0856720914304723,1,5,0,0,1,0,0,0,0,1
223,0,3,1,2.0663309725297405,1,3,0,0,1,0,0,0,0,1
224,1,1,1,4.499809670330265,2,3,0,0,1,0,0,0,0,1
225,0,3,1,2.2353763433005955,1,2,0,0,1,0,0,0,0,1
226,1,2,1,2.3513752571634776,1,1,0,0,1,0,0,0,0,1
227,0,3,1,1.9810014688665833,1,2,0,0,1,0,0,0,0,1
228,0,2,1,2.5649493574615367,1,1,0,0,1,0,0,0,0,1
229,0,3,0,3.237371716404032,5,2,0,1,0,0,0,0,0,1
230,1,1,0,4.424547185829718,2,3,0,0,0,1,0,0,0,1
231,0,3,1,2.0509134580652977,1,2,0,0,1,0,0,0,0,1
232,0,2,1,2.6026896854443837,1,5,0,0,1,0,0,0,0,1
233,1,3,0,3.4464097244837033,7,0,0,1,0,0,0,0,0,1
234,0,2,1,2.3513752571634776,1,2,0,0,1,0,0,0,0,1
235,0,3,0,2.0215475632609334,1,2,0,1,0,0,0,0,0,1
236,0,2,1,3.258096538021482,2,4,0,0,1,0,0,0,0,1
237,1,2,0,3.2676659890376327,3,0,0,1,0,0,0,0,0,1
238,0,2,1,2.3513752571634776,1,1,0,0,1,0,0,0,0,1
239,0,2,1,2.507564673680584,1,3,0,0,1,0,0,0,0,1
240,0,3,0,2.6709850297651974,2,2,0,1,0,0,0,1,0,0
241,1,3,0,2.740840023925201,2,2,0,1,0,0,0,0,1,0
242,0,2,1,2.3513752571634776,1,2,0,0,1,0,0,0,0,1
243,0,3,1,1.9636097261547143,1,2,0,0,1,0,0,0,0,1
244,0,3,1,1.9775472339984959,1,3,0,0,1,0,0,1,0,0
245,0,1,1,4.499809670330265,3,4,0,0,1,0,0,0,1,0
246,0,3,0,2.0509134580652977,1,2,0,1,0,0,0,0,0,1
247,1,2,0,2.6741486494265287,3,2,0,0,0,1,0,0,0,1
248,1,1,1,3.961845018011234,3,3,0,0,1,0,0,0,0,1
249,0,2,1,3.258096538021482,2,5,0,0,0,0,1,0,0,1
250,0,3,1,1.9810014688665833,1,3,0,0,1,0,0,0,0,1
251,0,3,0,2.3477974358155937,3,2,0,0,0,1,0,0,0,1
252,0,1,1,3.279029747687948,1,6,0,0,1,0,0,0,0,1
253,0,3,1,2.7788192719904172,2,3,0,0,1,0,0,0,0,1
254,0,3,0,3.006301224903225,3,4,0,0,0,1,0,0,0,1
255,1,3,0,2.7243040552851014,3,2,0,0,0,1,0,1,0,0
256,1,1,0,4.37197629882038,1,3,0,0,0,1,0,1,0,0
257,1,1,0,4.460144413937834,1,3,0,1,0,0,0,0,0,1
258,1,1,0,6.238967387173662,1,3,0,1,0,0,0,1,0,0
259,1,2,0,3.258096538021482,2,5,0,0,0,1,0,0,0,1
260,0,3,1,2.0476928433652555,1,3,0,0,1,0,0,0,1,0
261,1,3,1,3.4464097244837033,7,0,1,0,0,0,0,0,0,1
262,0,1,1,4.3776420363560575,3,5,0,0,1,0,0,0,0,1
263,0,1,1,0.0,1,4,0,0,1,0,0,0,0,1
264,0,3,0,2.0476928433652555,1,2,0,1,0,0,0,0,1,0
265,0,2,1,2.3513752571634776,1,3,0,0,1,0,0,0,0,1
266,0,3,1,3.6810362766529106,6,1,0,0,1,0,0,0,0,1
267,1,3,1,2.0509134580652977,2,2,0,0,1,0,0,0,0,1
268,1,1,0,5.033456237506958,2,5,0,0,0,1,0,0,0,1
269,1,1,0,4.909954920578875,1,3,0,1,0,0,0,0,0,1
270,0,1,1,3.4339872044851463,1,3,0,0,1,0,0,0,0,1
271,1,3,1,0.0,1,2,0,0,1,0,0,0,0,1
272,1,2,0,2.970414465569701,2,4,0,0,0,1,0,0,0,1
273,0,1,1,3.391147045808654,2,3,0,0,1,0,0,1,0,0
274,1,3,0,2.0476928433652555,1,2,0,1,0,0,0,0,1,0
275,1,1,0,4.356174068347218,2,6,0,1,0,0,0,0,0,1
276,0,3,0,2.0476928433652555,1,4,0,1,0,0,0,0,0,1
277,0,2,1,0.0,1,3,0,0,1,0,0,0,0,1
278,0,3,1,3.371596911885865,6,0,1,0,0,0,0,0,1,0
279,1,3,0,3.0081547935525483,3,3,0,0,0,1,0,0,0,1
280,0,3,1,2.0476928433652555,1,6,0,0,1,0,0,0,1,0
281,0,3,1,2.061048420562944,1,2,0,0,1,0,0,0,0,1
282,0,3,1,2.2512917986064953,1,1,0,0,1,0,0,0,0,1
283,1,3,1,2.0856720914304723,1,1,0,0,1,0,0,0,0,1
284,0,1,1,3.258096538021482,1,3,0,0,1,0,0,0,0,1
285,0,3,1,2.1590033645160216,1,3,0,0,1,0,0,1,0,0
286,1,3,1,2.2512917986064953,1,3,0,0,1,0,0,0,0,1
287,0,3,1,2.0663309725297405,1,2,0,0,1,0,0,0,0,1
288,1,2,1,2.5649493574615367,1,4,0,0,1,0,0,0,0,1
289,1,3,0,2.0476928433652555,1,2,0,1,0,0,0,0,1,0
290,1,1,0,4.367547313409047,1,2,0,1,0,0,0,0,0,1
291,1,1,0,4.51172945766992,2,1,0,0,0,1,0,1,0,0
292,0,2,1,2.5552874465497997,1,3,0,0,1,0,0,1,0,0
293,0,3,0,2.180417459019838,1,2,0,1,0,0,0,0,0,1
294,0,3,1,2.0663309725297405,1,2,0,0,1,0,0,0,0,1
295,0,1,1,3.32218303393412,1,3,0,0,1,0,0,1,0,0
